IDIndikator;Indikator;IDTer;nTer;God+Mes;nVrTacka;Vrednost;IDStatusPodatka;nStatusPodatka;IDStatusPoverljivosti;nStatusPoverljivosti;IDJedinicaMere;nJedinicaMere
2403040103IND01;Average net earnings;70114;Vračar;202509;2025/september;177451;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70114;Vračar;202510;2025/october;177186;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70114;Vračar;202511;2025/november;182763;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70122;Grocka;202412;2024/december;96290;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70122;Grocka;202501;2025/january;95270;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70122;Grocka;202502;2025/february;92525;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70122;Grocka;202503;2025/march;94965;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70122;Grocka;202504;2025/april;98109;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70122;Grocka;202505;2025/may;96611;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70122;Grocka;202506;2025/june;95122;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70122;Grocka;202507;2025/july;96231;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70122;Grocka;202508;2025/august;93968;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70122;Grocka;202509;2025/september;96653;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70122;Grocka;202510;2025/october;99048;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70122;Grocka;202511;2025/november;99971;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70149;Zvezdara;202412;2024/december;143864;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70149;Zvezdara;202501;2025/january;136797;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70149;Zvezdara;202502;2025/february;134339;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70149;Zvezdara;202503;2025/march;141442;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70149;Zvezdara;202504;2025/april;142020;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70149;Zvezdara;202505;2025/may;137099;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70149;Zvezdara;202506;2025/june;137620;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70149;Zvezdara;202507;2025/july;139695;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70149;Zvezdara;202508;2025/august;134838;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70149;Zvezdara;202509;2025/september;138396;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70149;Zvezdara;202510;2025/october;140058;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70149;Zvezdara;202511;2025/november;143515;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70157;Zemun;202412;2024/december;130663;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70157;Zemun;202501;2025/january;124412;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70157;Zemun;202502;2025/february;121289;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70157;Zemun;202503;2025/march;128565;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70157;Zemun;202504;2025/april;128203;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70157;Zemun;202505;2025/may;125111;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70157;Zemun;202506;2025/june;126313;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70157;Zemun;202507;2025/july;125948;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70157;Zemun;202508;2025/august;123638;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70157;Zemun;202509;2025/september;126735;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70157;Zemun;202510;2025/october;127655;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70157;Zemun;202511;2025/november;131368;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70165;Lazarevac;202412;2024/december;104044;A;Normal value;F;Free (free for publication);RSD;RSD
