element,osmid,leisure,sport,covered,int_name,name,name:sr,name:sr-Latn,addr:floor,length,location,swimming_pool,access,start_date,source,description,lit,operator,content,type,candidate_source,index,area,name:en,website,amenity,bath:open_air,bath:sand_bath,fee,wikipedia,wikidata,bath:type,shower,alt_name,contact:instagram,opening_hours,phone,addr:place,addr:postcode,designation,addr:city,addr:housenumber,addr:street,check_date,wheelchair,operator:type,name:ru,alt_name:sr,alt_name:sr-Latn,email,level,addr:suburb,building,building:levels,ref:RS:kucni_broj,barrier,old_name,old_name:en,old_name:sr,old_name:sr-Latn,wikimedia_commons,year_of_construction,internet_access,roof:direction,roof:shape,layer,contact:facebook,contact:twitter,surface,old_addr:housenumber,old_addr:street,nohousenumber,fax,man_made,outdoor,tower:type,climbing:boulder,contact:phone,shooting,addr:housename,image,name:de,note,club,outdoor_seating,rental,mobile,fitness_station,entrance,addr:pak,addr:country,contact:website,personal_trainer,sauna,check_date:opening_hours,addr:level,contact:linkedin,contact:youtube,internet_access:fee,payment:cash,payment:credit_cards,payment:debit_cards,payment:cards,index_right,venue_type,venue_name,venue_dist_m,is_municipal,name_normalized,access_value,exclude_private_access,pool_type,geometry_orig_wkt,lon,lat
way,1224606206.0,swimming_pool,,,,,,,,,,,private,,osm,,,,,,leisure=swimming_pool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,private,True,,"POLYGON ((20.456519 44.784464, 20.456516 44.784457, 20.456549 44.78439, 20.456561 44.784371, 20.456576 44.784375, 20.456584 44.784374, 20.456592 44.78437, 20.4566 44.784365, 20.456625 44.784371, 20.456628 44.784384, 20.456639 44.784391, 20.456653 44.784395, 20.456608 44.784485, 20.456603 44.784487, 20.456599 44.784487, 20.456519 44.784464))",20.456584291294643,44.78442605
way,1245858195.0,swimming_pool,,,,,,,,,,,private,,osm,,,,,,leisure=swimming_pool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,private,True,,"POLYGON ((20.409411 44.847694, 20.409442 44.847672, 20.40951 44.847721, 20.409478 44.847743, 20.409411 44.847694))",20.409460169205516,44.8477075
way,1271440797.0,swimming_pool,,,,,,,,,,,private,,osm,,,,,,leisure=swimming_pool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,private,True,,"POLYGON ((20.384405 44.859027, 20.384321 44.858944, 20.384376 44.858916, 20.38446 44.858999, 20.384405 44.859027))",20.38439025010004,44.8589714
way,1302223933.0,swimming_pool,,,,,,,,,outdoor,kids,customers,,osm,,,,,,leisure=swimming_pool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368.0,sports_centre,СРЦ Ташмајдан,63.440704301209024,True,,customers,False,sports_centre,"POLYGON ((20.473041 44.809671, 20.473024 44.809598, 20.473178 44.809476, 20.47328 44.809541, 20.47313 44.809661, 20.473041 44.809671))",20.47315210118885,44.809569350000004
way,1311283270.0,swimming_pool,,,,,,,,,,,,,osm,,,,,,leisure=swimming_pool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,False,,"POLYGON ((20.408751 44.785585, 20.408875 44.785606, 20.408904 44.785519, 20.408781 44.785498, 20.408751 44.785585))",20.408827781,44.78555215
way,1311283271.0,swimming_pool,,,,,,,,,,,,,osm,,,,,,leisure=swimming_pool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,False,,"POLYGON ((20.408513 44.785477, 20.408606 44.785534, 20.40869 44.785465, 20.408596 44.785408, 20.408513 44.785477))",20.408601499999996,44.78547075
way,1311283272.0,swimming_pool,,,,,,,,,,,,,osm,,,,,,leisure=swimming_pool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,False,,"POLYGON ((20.408145 44.785498, 20.408243 44.785574, 20.40834 44.785498, 20.408242 44.78543, 20.408191 44.785464, 20.408145 44.785498))",20.408242953252298,44.78553614999999
way,1311283273.0,swimming_pool,,,,,,,,,,,,,osm,,,,,,leisure=swimming_pool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,False,,"POLYGON ((20.40788 44.785745, 20.408129 44.785755, 20.408136 44.785659, 20.407887 44.78565, 20.40788 44.785745))",20.408007972518288,44.7857023
way,1365480404.0,swimming_pool,,,,,,,,,,,,,osm,,,,,,leisure=swimming_pool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,False,,"POLYGON ((20.461152 44.78464, 20.461201 44.784647, 20.461229 44.784682, 20.461222 44.784708, 20.461086 44.784689, 20.461091 44.78466, 20.461145 44.784666, 20.461152 44.78464))",20.461155783448834,44.78467410000001
way,1365480405.0,swimming_pool,,,,,,,,,,,,,osm,,,,,,leisure=swimming_pool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,False,,"POLYGON ((20.46199 44.783472, 20.461926 44.783594, 20.461898 44.783606, 20.461863 44.783602, 20.461854 44.783574, 20.461906 44.783453, 20.46199 44.783472))",20.461919516380597,44.78352250000001
way,1365480406.0,swimming_pool,,,,,,,,,,,,,osm,,,,,,leisure=swimming_pool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,False,,"POLYGON ((20.460364 44.784264, 20.460401 44.78429, 20.460392 44.78431, 20.460366 44.784318, 20.460315 44.784326, 20.46029 44.784325, 20.460302 44.784294, 20.460331 44.784267, 20.460364 44.784264))",20.460347343181706,44.784301850000006
way,1365480407.0,swimming_pool,,,,,,,,,,,,,osm,,,,,,leisure=swimming_pool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,False,,"POLYGON ((20.459948 44.784062, 20.459983 44.783983, 20.459832 44.783948, 20.459796 44.784028, 20.459948 44.784062))",20.459889806350326,44.78400525
way,1365480408.0,swimming_pool,,,,,,,,,,,,,osm,,,,,,leisure=swimming_pool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,False,,"POLYGON ((20.460782 44.782312, 20.460735 44.782392, 20.46066 44.78237, 20.460707 44.78229, 20.460782 44.782312))",20.46072135,44.7823406
